TRANSACTION DETAILS,Category
CASHDEP/HAUS KHAS/SANJAY,Cash Deposits
Sweep Trf To: 40900036427,Bank Transfers
IRCTC CORPORATE OFFICE AC,Travel
RTGS/KVBLH17016000094/Indfor,Other
TRF FRM  Indiaforensic SERVICES,Business Services
NEFT/N314170408474522/PAY,Other
MICRO ATM INC DATED 30011,Other
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
BSES RAJDHANI POWER LIMIT,Utilities
FDRL/REAL TIME GROSS SETTL,Bank Transfers
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
BEAT CASH PICKP 12513758,Other
NEFT/N153180554429087/USH,Other
RUPAY POS ACQ SETTL 13021,Other
NEFT/AXISF16194094723/Indfor,Other
CHQ DEP/951394/OWDEL1/SBI,Other
NEFT/SBIN718214186072/M S,Other
TRANSFER TO  Indiaforensic SERVI,Other
NEFT/CITIN17752056494/PAY,Other
Indiaforensic NFS SETT 08-08-201,Other
IRCTC CORPORATE OFFICE AC,Travel
Indiaforensic VISA ACQ DOM 26031,Other
PAYU PAYMENTS PRIVATE LIM,Payment Gateways
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
RTGS/ICICH16113768408/Indfor,Other
AEPS ACQUIRING ADJ FEES 2,Other
CASHDEP/KALYAN-W/,Cash Deposits
NOMISMA MOBILE SOLUTIONS,Finance
IMPS OW 18102016 2C,Other
CR833110249727/RMCPL16457/2,Other
IMPS IW 10052016 4C,Other
CASHDEP/THANEWEST/,Cash Deposits
NEFT/AXISP00011322536/ACC,Other
IB:  OFT TO XX6428 INTERN,Other
RTGS/ICICH15230027478/Indfor,Other
VOYLLA FASHIONS PRIVATE L,Other
CR817910049378/RMCPL09617/2,Other
INDIAIDEAS.COM LTD,Payment Gateways
TRF FROM  Indiaforensic SERVICES,Business Services
IMPS 0507183C,Other
IMPS 0907183C,Other
RTGS/HDFCH16184458939/Indfor,Other
724420725991,Other
TRFT O  Indiaforensic SERVICES I,Business Services
NEFT/AXISF15328020440/Indfor,Other
707413458197,Other
Indiaforensic NFS SETT 02-02-201,Other
IMPS IW 07022017 2C,Other
CASHDEP/HAUS KHAS/NEERAJ,Cash Deposits
CR718116627182/RMCPL11909/1,Other
RTGS/CITIH15272703744/PAY,Other
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
CASHDEP/KAROL BAGH/,Cash Deposits
RTGS/PUNBH18171228843/PUN,Other
633810447477,Other
RTGS/SBINH15223626919/Indfor,Other
IMPS 020517 4C,Other
INTERNAL FUND TRANSFER IN,Bank Transfers
IRCTC CORPORATE OFFICE AC,Travel
CHQ DEPOSIT RETURN/250211,Other
INDIAIDEAS.COM LTD,Payment Gateways
RUPAY POS ACQ SETTL 22061,Other
IMPS 06082017 1C,Other
725120720758,Other
CASHDEP/RAJOURI/,Cash Deposits
CASHDEP/KALYAN-W/,Cash Deposits
CR719811514790/RMCPL12671/1,Other
CASHDEP/PITAMPURA/LCT,Cash Deposits
CASHDEP/RAJOURI/,Cash Deposits
CASHDEP/NOIDA/TP,Cash Deposits
NEFT/BARBH17066673877/MAK,Other
INTERNAL FUND TRANSFER IN,Bank Transfers
Indiaforensic NFS SETT 28-09-201,Other
RUPAY POS ACQ SETTL 23031,Other
CASHDEP/RAJOURI/,Cash Deposits
NEFT/N212180597438998/PAY,Other
FDRL/REAL TIME GROSS SETTL,Bank Transfers
IMPS 281017 1C,Other
TRF TO Indiaforensic SERVICES IN,Business Services
IMPS 2312181C,Other
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
CR820417366291/RMCPL25532/2,Other
CASHDEP/VIKASMARG/TP,Cash Deposits
IMPS O/W 09102015 1C,Other
CASHDEP/KALYAN-W/,Cash Deposits
Indiaforensic RUP STL INTC240219,Other
LOCALCUBE COMMERCE PRIVAT,Business Services
CASHDEP/NEW-DELHI/,Cash Deposits
INTERNAL FUND TRANSFER IN,Bank Transfers
CR800816963225/RMCPL16793/0,Other
CASHDEP/GURGAON/,Cash Deposits
NEFT/SBIN915260558663/Indfor,Other
Indiaforensic VISA ACQ DOM060818,Other
IMPS-731420099579,Other
Indiaforensic RUPAY SETT 020918,Other
CR715612401058/RMCPL11624/0,Other
MICRO ATM INC DATED 19011,Other
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
TRF FRM  Indiaforensic SERVICES,Business Services
TECHJINI DIGITAL SERVICES,Other
IRCTC CORPORATE OFFICE AC,Travel
CASHDEP/NOIDA/TP,Cash Deposits
CASHDEP/HAUS KHAS/NEERAJ,Cash Deposits
Sweep Trf To: 40900036427,Bank Transfers
Indiaforensic NFS SETT 21-02-201,Other
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
AEPS ACQ CR ADJ FEES 2506,Other
IMPS 816614358117 FROM AS,Other
TRF FROM  Indiaforensic SERVICES,Business Services
IMPS OW 04082016 3C,Other
IMPS 833119793188 FROM AR,Other
INTERNAL FUND TRANSFER IN,Bank Transfers
KRISHI KALYAN CESS,Other
IMPS OW 26122016 3C,Other
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
AEPS ACQUIRING ADJ FEES 1,Other
INTERNAL FUND TRANSFER IN,Bank Transfers
CR/704713516552/RMCPL00223/,Other
TFR FROM Indiaforensic  Indiaforensic S,Other
CASHDEP/PITAMPURA/LCT,Cash Deposits
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
PVR LIMITED,Entertainment
CASHDEP/BHI-RIICO/,Cash Deposits
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
IMPS 819721826152 FROM OX,Other
SONATA FINANCE PRIVATE LI,Finance
NEFT/SBIN518200850523/NAR,Other
Repayment credit [7090035,Other
CASHDEP/BHI-RIICO/,Cash Deposits
MICRO ATM GST DATED 06021,Other
CHQ DEP/39504/OWDEL1/JAKA,Other
TRF FROM Indiaforensic SERVICES,Business Services
IMPS  I/W 151015 2C,Other
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
CASHDEP/BOISAR/,Cash Deposits
IRCTC CORPORATE OFFICE AC,Travel
CASHDEP/HAUS KHAS/CASH DE,Cash Deposits
INTERNAL FUND TRANSFER IN,Bank Transfers
CASHDEP/VAPI/,Cash Deposits
CHQ DEP/657508/OWDEL1/HP,Other
EXCESS CASH PICK CHAR Indfor,Other
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
CASHDEP/GURGAON/,Cash Deposits
CASHDEP/RAJOURI/,Cash Deposits
IMPS IW 08022016 1C,Other
CASHDEP/NOIDA/TP/MOBILE R,Cash Deposits
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
CR712317289417/RMCPL11586/1,Other
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
TRF TO  Indiaforensic SERVICES I,Business Services
CASHDEP/KAROL BAGH/,Cash Deposits
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
BEAT CASH PICKP DELH 2911,Other
IMPS 280417 2C,Other
CR725611985738/RMCPL11749/1,Other
AEPS Indiaforensic INCOME 260817,Other
CASHDEP/HAUS KHAS/JASSI,Cash Deposits
CASHDEP/KAROL BAGH/,Cash Deposits
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
CASHDEP/SILVASSA/,Cash Deposits
CASHDEP/VIKASMARG/TP,Cash Deposits
FDRL/REAL TIME GROSS SETTL,Bank Transfers
Indiaforensic AEPS NPCI DEP SET,Other
IMPS 07092017 2C,Other
CR801114716330/RMCPL17808/1,Other
IMPS 819915328632 FROM AS,Other
IMPS OW 03102016 1C,Other
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
NEFT/000030858868/RTGS PO,Other
RUPAY POS ACQ SETTL 16101,Other
RTGS/YESBH16119717847/Indfor,Other
IMPS IW 21032017 2C,Other
METRO INFRASYS PRIVATE LI,Other
RTGS/SBINH16146213042/Indfor,Other
BBPS DT 08082018,Other
AVENUES INDIA PRIVATE LIM,Payment Gateways
730019893495,Other
NEFT/SBIN316054519453/Mr,Other
Indiaforensic NFS SETT 27-08-201,Other
CASHDEP/DAMAN/,Cash Deposits
RTGS/SBINH16186767333/Indfor,Other
NEFT/RTN/RETD161018002165,Other
Indiaforensic NFS SETT 12-10-201,Other
Indiaforensic RUPAY SETT 051118,Other
CASHDEP/NOIDA/TP,Cash Deposits
TRF FROM  Indiaforensic SERVICES,Business Services
Indfor INCOME INDO REMI24111,Other
AVENUES INDIA PRIVATE LIM,Payment Gateways
CASHDEP/SADARBAZAR/LCT,Cash Deposits
IMPS 270417 4C,Other
INWARD CHQ RETURN/704233/,Other
CASHDEP/GURGAON/,Cash Deposits
CB819212371057/RMCPL12343/1,Other
IMPS 2511181C,Other
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
CASHDEP/KAROL BAGH/,Cash Deposits
CR820010249848/RMCPL15451/1,Other
NEFT/SBIN317146144158/Indfor,Other
Indiaforensic RUPAY POS ACQ 1304,Other
Indiaforensic AEPS NPCI WDL SET,Other
AEPS GST INC DT 19-09-201,Other
NEFT/SBIN815357553677/Indfor,Other
TRF TO  Indiaforensic SERVICES I,Business Services
CASHDEP/SILVASSA/,Cash Deposits
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
CASHDEP/NOIDA/TP,Cash Deposits
MAW/502964XXXXXX9739/NAGA,Other
Indiaforensic NFS SETT 08-07-201,Other
CASHDEP/DAMAN/,Cash Deposits
CASHDEP/HAUS KHAS/JASSI,Cash Deposits
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
Indiaforensic NFS SETT 08-08-201,Other
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
CASHDEP/GURGAON/,Cash Deposits
CR820511552417/RMCPL22050/2,Other
MEHAR ENTERTAINMENT PRIVA,Entertainment
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
TRF TO Indiaforensic SERVICES IN,Business Services
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
Indiaforensic RUPAY SETT 210918-,Other
BHARTI AIRTEL LLDLN COLL,Other
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
AEPS ACQ REP ADJ FEES 091,Other
TRFT O  Indiaforensic SERVICES I,Business Services
CASHDEP/THANEWEST/,Cash Deposits
Indiaforensic AEPS NPCI DEP SET,Other
CASHDEP/NOIDA/@NOIDA,Cash Deposits
NEFT/FDRL504549153/Indiaforensic,Other
720116084397,Other
MICRO ATM WDL FEE DT01031,Other
FDRL/REAL TIME GROSS SETTL,Bank Transfers
CASHDEP/KAROL BAGH/,Cash Deposits
SONATA FINANCE PRIVATE LI,Finance
Indiaforensic  RUPAY SETT 131118,Other
VISA POSDOM ACQ SETTL 120,Other
INTERNAL FUND TRANSFER IN,Bank Transfers
NEFT/FDRL342280795/Indiaforensic,Other
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
Indiaforensic  RUPAY SETT 180918,Other
FUTURE RETAIL LIMITED (OW,Shopping/Retail
CASHDEP/FARIDABAD/TP,Cash Deposits
TRF TO  Indiaforensic SERVICES I,Business Services
NEFT/FDRL352518288/Indiaforensic,Other
NEFT/FDRL504549173/Indiaforensic,Other
Indiaforensic MASTER ACQ DOM0512,Other
NEFT/AXISF16006024205/Indfor,Other
DISH INFRA SERVICES PRIVA,Other
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
CHQ DEP/444326/OWDEL1/PUN,Other
Dr. Tran for funding A/c,Other
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
IMPS 805420512659 FROM OX,Other
RTGS/SBINH16201337991/Indfor,Other
CASHDEP/FARIDABAD/TP,Cash Deposits
TRF FROM Indiaforensic SERVICES,Business Services
CR833811008170/RMCPL22655/4,Other
CASHDEP/RAJOURI/,Cash Deposits
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
RTGS/HDFCH17236319752/PAY,Other
RTGS/CITIH17041705171/PAY,Other
Indiaforensic NFS SETT 27-08-201,Other
CASHDEP/HAUS KHAS/KAMAL,Cash Deposits
CASHDEP/HAUS KHAS/SANJAY,Cash Deposits
IMPS IW 29082016 4C,Other
CASHDEP/NEW-DELHI/,Cash Deposits
Loan Recovery For90900005,Other
CR719911977175/RMCPL10404/1,Other
Indiaforensic NFS SETT 08-01-201,Other
IMPS 805420511969 FROM OX,Other
TRF TO  Indiaforensic SERVICES I,Business Services
MICRO ATM GST DATED 01021,Other
FDRL/REAL TIME GROSS SETTL,Bank Transfers
AEPS ACQ REP ADJ FEES 161,Other
IMPS 828516269937 FROM SA,Other
RTGS/UTIBH15241076030/Indfor,Other
FDRL/REAL TIME GROSS SETTL,Bank Transfers
FUND TRF FROM  Indiaforensic SER,Other
NEFT/AXISF15198030198/Indfor,Other
CASHDEP/NOIDA/TP,Cash Deposits
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
MICRO ATM GST DATED 30121,Other
CASHDEP/NOIDA/TP,Cash Deposits
Indiaforensic AEPS NPCI WDL SET,Other
PAYU PAYMENTS PRIVATE LIM,Payment Gateways
IRCTC CORPORATE OFFICE AC,Travel
JUST DIAL LIMITED,Business Services
Indiaforensic SERVICES INDIA PVT,Business Services
TRF FROM  Indiaforensic SERVICES,Business Services
NEFT/SBIN916336236043/FAR,Other
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
RUPAY POS ACQ SETTL 25031,Other
IMPS I/W 121015 2C,Other
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
CASHDEP/NOIDA/TP,Cash Deposits
IMPS OW 17112016 4C,Other
CR827214154119/RMCPL15296/2,Other
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
FUND TRF TO  Indiaforensic SERVI,Other
704412101492,Other
AEPS Indiaforensic S TAX 190816,Other
NEFT/KKBK162113905256/Acc,Other
COMMDEL CONSULTING SERVIC,Other
PBGI01001800230:Bank Guar,Other
CASHDEP/DAMAN/,Cash Deposits
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
AEPS Indiaforensic INCOME 151016,Other
Indiaforensic AEPS NPCI WDL SET,Other
RTGS/SCBLH18162003650/FIX,Other
CASHDEP/NOIDA/TP,Cash Deposits
VOUCHER ACTIVATION SERVIC,Other
Indiaforensic RUPAY POS ACQ05081,Other
Indiaforensic  RUP SETT 250219-2,Other
CASHDEP/BHI-RIICO/,Cash Deposits
INTERNAL FUND TRANSFER IN,Bank Transfers
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
FDRL/REAL TIME GROSS SETTL,Bank Transfers
IMPS IW 11052016 4C,Other
IMPS OW 01122016 2C,Other
CASHDEP/NEW-DELHI/,Cash Deposits
CASHDEP/KAROL BAGH/LCT,Cash Deposits
Indiaforensic SERVICES INDIA PVT,Business Services
TF FRM  Indiaforensic SERVICES I,Business Services
CR812212936149/RMCPL11951/0,Other
CASHDEP/NOIDA/TP,Cash Deposits
CASHDEP/GURGAON/,Cash Deposits
Indiaforensic SERVICES INDIA PVT,Business Services
BEAT CSH PKP DEL GURG 148,Other
630108260419,Other
NEFT/FDRL330169592/Indiaforensic,Other
Indiaforensic SERVICES INDIA PVT,Business Services
CASHDEP/NAVPADA/,Cash Deposits
TRF TO  Indiaforensic SERVICES I,Business Services
CASHDEP/DOMBIVLI-E/,Cash Deposits
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
NEFT/FDRL504549126/Indiaforensic,Other
NEFT/N212180596758391/JUN,Other
Indiaforensic SERVICES INDIA PVT,Business Services
FDRL/REAL TIME GROSS SETTL,Bank Transfers
CASHDEP/PANIPAT/0146,Cash Deposits
CASHDEP/KAROL BAGH/,Cash Deposits
Indiaforensic NFS SETT 20-02-201,Other
Indiaforensic VISA ACQ DOM060918,Other
Indiaforensic SERVICES INDIA PVT,Business Services
TRANGLO SDN BHD/USD/69980,Other
726519341822,Other
FDRL/REAL TIME GROSS SETTL,Bank Transfers
TRF TO  Indiaforensic SERVICES I,Business Services
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
IMPS O/W DTD.25072015 FOR,Other
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
IMPS IW 03112016 3C,Other
CR719411644262/RMCPL15755/1,Other
IMPS OW 10082016 1C,Other
TRF TO  Indiaforensic SERVICES I,Business Services
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
TRF FROM  Indiaforensic SERVICES,Business Services
CASHDEP/RAJOURI/,Cash Deposits
Indiaforensic  RUPAY SETT 061118,Other
INTERNAL FUND TRANSFER IN,Bank Transfers
MEHAR ENTERTAINMENT PRIVA,Entertainment
PASFAR TECHNOLOGIES PRIVA,Business Services
CHQ DEPOSIT RETURN/59355/,Other
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
TRF FROM  Indiaforensic SERVICES,Business Services
CASHDEP/GURGAON/LCT,Cash Deposits
CASHDEP/HAUS KHAS/KAMAL,Cash Deposits
BHARTI AIRTEL LTD,Other
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
CASHDEP/PANIPAT/0146,Cash Deposits
SONATA FINANCE PRIVATE LI,Finance
"Indiaforensic USA, INC./USD/1683",Other
JUST DIAL LIMITED,Business Services
CR822818263327/RMCPL13776/1,Other
DSB CASH PICKP IndiaforensicMET2,Cash Deposits
CASHDEP/DAMAN/,Cash Deposits
NEFT/SBIN715225981616/Indfor,Other
TRF FROM  Indiaforensic SERVICES,Business Services
CHQ DEP/752103/OWDEL1/PUN,Other
IMPS OW 24022016 2C,Other
RTGS/YESBH15185085545/Indfor,Other
IMPS O/W 010116 1C,Other
NEFT/SBIN217046813643/Indfor,Other
TRF FROM Indiaforensic SERVICES,Business Services
CASHDEP/PANIPAT/0146,Cash Deposits
IMPS 011117 4C,Other
CASHDEP/VAPI/,Cash Deposits
CASHDEP/VIKASMARG/TP,Cash Deposits
CASHDEP/VAPI/,Cash Deposits
OXYGEN NFS SETT 07-07-201,Other
IMPS 16092017 4C,Other
Indiaforensic RUP SETT 110119-2C,Other
BBPS DT 05072018,Other
BSES YAMUNA POWER LIMITED,Other
CHQ DEPOSIT RETURN/178509,Other
NEFT/000008411845/Indiaforensic,Other
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
BIGTREE ENTERTAINMENT PRI,Entertainment
INTERNAL FUND TRANSFER IN,Bank Transfers
IMPS OW 18122015 2C,Other
Indiaforensic NFS SETT 09-08-201,Other
CASHDEP/NEW-DELHI/,Cash Deposits
CASHDEP/NEW-DELHI/,Cash Deposits
IRCTC CORPORATE OFFICE AC,Travel
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
IRCTC CORPORATE OFFICE AC,Travel
Indiaforensic AEPS NPCI WDL SET,Other
AEPS Indiaforensic INCOME 070217,Other
CASHDEP/KAROL BAGH/,Cash Deposits
INTERNAL FUND TRANSFER IN,Bank Transfers
INTERNAL FUND TRANSFER IN,Bank Transfers
BSES RAJDHANI POWER LIMIT,Utilities
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
NEFT/N225180608839367/TEC,Other
FUTURE RETAIL LIMITED (OW,Shopping/Retail
IMPS IW 13022017 2C,Other
Indiaforensic NFS SETT 08-09-201,Other
Indiaforensic SERVICES INDIA PVT,Business Services
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
IMPS 2610171C,Other
Indiaforensic SERVICES INDIA PVT,Business Services
CR823309326747/RMCPL15326/2,Other
Indiaforensic AEPS NPCI WDL SET,Other
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
RTGS/SBINH15276650038/Indfor,Other
CR721410954623/RMCPL16705/0,Other
"Indiaforensic USA, INC./USD/6842",Other
CASHDEP/HAUS KHAS/RAJESH,Cash Deposits
CASHDEP/NOIDA/TP,Cash Deposits
IMPS 0112184C,Other
IRCTC CORPORATE OFFICE AC,Travel
CASHDEP/GURGAON/,Cash Deposits
FDRL/REAL TIME GROSS SETTL,Bank Transfers
CHQ DEP/572056/OWDEL1/SBI,Other
NEFT/FDRL428254237/Indiaforensic,Other
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
RTGS/UTIBH18305629485/Indfor,Other
CR719212685282/RMCPL12566/1,Other
CB814110752033/RMCPL18664/2,Other
RTGS/YESBH15191132762/Indfor,Other
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
TRF TO6711,Other
CR817812819572/RMCPL11613/2,Other
Indiaforensic NFS SETT 11-02-201,Other
IB:TPFT000039556861409000,Other
Indiaforensic NFS SETT 09-07-201,Other
IMPS 824618971469 FROM OX,Other
Indiaforensic NFS SETT 18-09-201,Other
INTERNAL FUND TRANSFER IN,Bank Transfers
CASHDEP/KAROL BAGH/,Cash Deposits
RTGS/HDFCH16174987355/Indfor,Other
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
CASHDEP/VILE-PARLE/,Cash Deposits
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
CR801212236140/RMCPL15880/1,Other
CR735014141702/RMCPL16674/1,Other
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
NEFT/SBHY717052397009/Mr,Other
Sweep Trf To: 40900036427,Bank Transfers
TRF TO  Indiaforensic SERVICES I,Business Services
INTERNAL FUND TRANSFER IN,Bank Transfers
TRF TO  Indiaforensic SERVICES I,Business Services
PAYU PAYMENTS PRIVATE LIM,Payment Gateways
NEFT/AXIC171596406987/Indfor,Other
NEFT/AXISF16247098874/Indfor,Other
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
Indiaforensic  RUPAY SETT 071118,Other
NPCI SETELEMENT DIFF_3108,Other
RTGS/HDFCH18155904353/Indfor,Other
Indiaforensic AEPS NPCI WDL SET,Other
Indiaforensic SERVICES INDIA PVT,Business Services
TRF FROM  Indiaforensic SERVICES,Business Services
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
TRF FROM  Indiaforensic SERVICES,Business Services
CHQ DEPOSIT RETURN/159387,Other
726820965592,Other
CR800216339053/RMCPL18576/0,Other
IMPS 2612181C,Other
IMPS 835520822495 FROM OX,Other
CR820511552402/RMCPL14954/2,Other
Indiaforensic NFS SETT 08-10-201,Other
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
IMPS 120520181C,Other
Indiaforensic NFS SETT 26-09-201,Other
MICRO ATM GST DATED 14021,Other
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
722500234422,Other
NEFT/000002668956/Indiaforensic,Other
CASHDEP/KAROL BAGH/LCT,Cash Deposits
Indiaforensic SERVICES INDIA PVT,Business Services
Indiaforensic SERVICES INDIA PVT,Business Services
NEFT/N037180469335682/PAY,Other
CASHDEP/BOISAR/,Cash Deposits
CASHDEP/NOIDA/TP,Cash Deposits
IMPS 822219633830 FROM OX,Other
IMPS IW 13122016 4C,Other
Indiaforensic VISA ACQ DOM300618,Other
SRVTX DMT CHARGES - DEC 2,Other
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
723619844006,Other
JUST DIAL LIMITED,Business Services
CASHDEP/KAROL BAGH/,Cash Deposits
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
NEFT/SBIN815189947073/Indfor,Other
NEFT/YESBR140217R0060/IRC,Other
IMPS OW 15092016 1C,Other
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
AEPS GST INC DT 31-07-201,Other
IRCTC CORPORATE OFFICE AC,Travel
Indiaforensic NFS SETT 08-02-201,Other
NEFT/20150801N0000100/Indfor,Other
IMPS 270917 1C,Other
CASHDEP/GURGAON/,Cash Deposits
Sweep Trf To: 40900036427,Bank Transfers
CR814815648247/RMCPL25783/2,Other
RTGS/SBINH15216364124/Indfor,Other
MICROATM SETTLEMNT DATED2,Other
CHQ DEPOSIT RETURN/12/KRI,Other
RTGS/ICICH15351815327/Indfor,Other
CASHDEP/GURGAON/,Cash Deposits
Indiaforensic NFS SETT 25-01-201,Other
IMPS 3108181C,Other
Indiaforensic RUPAY SETT 210518-,Other
MICRO ATM WDL FEE DT16091,Other
Indiaforensic RUPAY POS ACQ04021,Other
AEPS Indiaforensic INCOME 200317,Other
Indiaforensic RUPAY POS ACQ01021,Other
INTERNAL FUND TRANSFER IN,Bank Transfers
TRF FROM  Indiaforensic SERVICES,Business Services
BEAT CASH PICKP DELH 3796,Other
INDO GIBL Indiaforensic STL16051,Other
Indiaforensic RUPAY POS ACQ12051,Other
RTGS/SBINH16253240352/Indfor,Other
Indiaforensic SERVICES INDIA PVT,Business Services
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
IMPS 070617 1C,Other
CASHDEP/RAJOURI/,Cash Deposits
CASHDEP/RAJOURI/,Cash Deposits
CASHDEP/GURGAON/LCT,Cash Deposits
FDRL/REAL TIME GROSS SETTL,Bank Transfers
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
TRF TO  Indiaforensic SERVICES I,Business Services
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
BAJAJ ALLIANZ GEN INS COM,Other
INTERNAL FUND TRANSFER IN,Bank Transfers
RTGS/ICICH16106326262/Indfor,Other
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
IRCTC CORPORATE OFFICE AC,Travel
Indiaforensic SERVICES INDIA PVT,Business Services
RTGS/YESBH15337670337/Indfor,Other
TRF TO  Indiaforensic SERVICES I,Business Services
PENALITY REC 09092016 1C,Other
TRF TO  Indiaforensic SERVICES I,Business Services
AEPS GST INC DT 03-09-201,Other
DSB CASH PICKP Indiaforensic MET,Cash Deposits
FDRL/REAL TIME GROSS SETTL,Bank Transfers
INTERNAL FUND TRANSFER IN,Bank Transfers
CR815511483827/RMCPL12959/0,Other
INDIAIDEAS.COM LTD,Payment Gateways
BILLPAY TATA POWER (TATA,Other
CHQ DEPOSIT RETURN/605232,Other
TRF TO6711,Other
IMPS IW 22122016 3C,Other
CR/703211330110/RMCPL09998/,Other
INDO GIBL Indiaforensic STL02121,Other
IMPS OW 18022017 1C,Other
CASHDEP/KAROL BAGH/,Cash Deposits
NEFT/AXISP00012568925/ACC,Other
TRANSFER TO  Indiaforensic SERVI,Other
BHARTI AIRTEL LLDLN COLL,Other
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
AEPS Indiaforensic INCOME 131117,Other
CHQ DEP/166/OWDEL1/HDFC/F,Other
TRF TO  Indiaforensic SERVICES I,Business Services
STAX RCRVRY/LIEN MARKING,Other
SERVICE TAX CREDIT ADMIN,Other
"Indiaforensic USA, INC./USD/1998",Other
CASHDEP/VIKASMARG/TP,Cash Deposits
IMPS OW 01072017 2C,Other
RTGS/HDFCH17325525066/PAY,Other
MEHAR ENTERTAINMENT PRIVA,Entertainment
IMPS 833117683068 FROM OX,Other
SONATA FINANCE PRIVATE LI,Finance
AEPS Indiaforensic INCOME 020517,Other
701913195238,Other
CR720212452692/RMCPL14040/2,Other
Indiaforensic  RUP SETT 040319,Other
Indiaforensic SERVICES INDIA PVT,Business Services
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
CASHDEP/RAJOURI/,Cash Deposits
633320383831,Other
IRTT00701700883,Other
CR701111209347/RMCPL08013/1,Other
IRTT00701613418,Other
CR719311165374/RMCPL09579/1,Other
621618875268,Other
TFR FROM Indiaforensic  Indiaforensic S,Other
NEFT/KKBK162154121736/Acc,Other
IMPS IW 29042017 4C,Other
RTGS/HDFCH18038577417/PAY,Other
Indiaforensic RUPAY STL INTC3009,Other
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
FUTURE RETAIL LIMITED (OW,Shopping/Retail
IMPS 804421740222 FROM OX,Other
CR725610940421/RMCPL18559/1,Other
